text,label
i am have to say one thing for this app which i dont like that is whenever i download any bigger of <number> mb or higher and some time i pause it so that i can download it another day but when i click on download it start again from starting and internet and both my time wasted due to this app,0
most serious problem is security issue. this app send our personal information to our developer.,0
"i can still using my phone with other apps, duh. its not working",0
when i push play on the map it doesnt move so i cant see which way the rain or weather is moving. please fix. i really like weather bug.,0
why do i need to sign up to use this app?,0
cool idea pain da butt to use then at times wont work <url>,0
i can't get it to load for tablet,0
it's better than the other photo editors,1
i will use the app but only in the <url> let's <url> hope this helps,1
when it works it is <url> for the past <number> weeks it keeps saying current location is oregon(currently in florida) <url> no other aps think im there.,1
storm warnings are behind. weather warnings just seams to be behind,1
it is easy to find your distination but there is always a less price,1
i like it most using adobe products since <number>,1
needs move to sd card,1
it's good app but need more apps related chat process,2
"works well! but, i have issues with the weather/temperature updating some times",2
good browser and fast,2
nice app. it realy helps a lot with my docs,2
bbm works for me.,2
very useful to book hotels,2
i personally love slack .. web and android too one kind request it would awesome if slack provides users with big open source communities slack link .. so we can learn and share more !,2
